nasa,name,category,confidence
20952,"ah ijsbergsla 1,00 ST",Groenten > Sla,hoog
767852,"ah prei 1,00 ST",Groenten > Prei,hoog
842312,"ah kropsla 1,00 ST",Groenten > Sla,hoog
717741,"ah crispy green sla 1,00 ST",Groenten > Sla,hoog
20074,"ah specialebonen los 1,00 KG",Groenten > Bonen,hoog
562663,"ah specialebonen 500,00 GR",Groenten > Bonen,hoog
559681,"ah snijbonen 400,00 GR",Groenten > Bonen,hoog
88596,"ah paksoi 1,00 ST",Groenten > Kool/paksoi,hoog
832874,"ah spitskool 1,00 ST",Groenten > Kool,hoog
86878,"ah chinese kool 1,00 ST",Groenten > Kool,hoog
599987,"ah bosui 1,00 ST",Groenten > Ui/kruiden,hoog
583138,"ah bospeen 1,00 BS",Groenten > Peen,hoog
20961,"ah broccoli 1,00 KG",Groenten > Kool,hoog
20960,"ah bloemkool 1,00 ST",Groenten > Kool,hoog
20954,"ah witlof los 1,00 KG",Groenten > Witlof,hoog
538981,"ah winterpeen los 1,00 ST",Groenten > Peen,hoog
21006,"ah paprika mix 3,00 ST",Groenten > Paprika,hoog
22924,"ah puntpaprika 500,00 GR",Groenten > Paprika,hoog
646784,"ah paprika rood 1,00 ST",Groenten > Paprika,hoog
809016,"ah aubergine 1,00 ST",Groenten > Aubergine/courgette,hoog
819405,"ah gele courgette 1,00 ST",Groenten > Aubergine/courgette,hoog
21003,"ah courgette 1,00 ST",Groenten > Aubergine/courgette,hoog
762529,"ah trostomaten los 1,00 KG",Groenten > Tomaten,hoog
40953,"ah coeur de boeuf 1,00 KG",Groenten > Tomaten,hoog
21009,"ah vlees tomaten 1,00 KG",Groenten > Tomaten,hoog
596488,"ah sweet cherry tomaten 250,00 GR",Groenten > Tomaten,hoog
36597,"ah cherrytomaten 250,00 GR",Groenten > Tomaten,hoog
501842,"ah tasty tom trostomaten 380,00 GR",Groenten > Tomaten,hoog
43349,"ah bio sw cherry trostomaten 200,00 GR",Groenten > Tomaten bio,hoog
43348,"ah bio ruby del trostomaten 300,00 GR",Groenten > Tomaten bio,controle
711407,"ah fin red med trostomaat 450,00 GR",Groenten > Tomaten,hoog
534133,"ah romaatjes 250,00 GR",Groenten > Tomaten,hoog
537853,"ah roma tomaten 750,00 GR",Groenten > Tomaten,hoog
506672,"ah komkommer 1,00 ST",Groenten > Komkommer,controle
529604,"ah bio komkommer 1,00 ST",Groenten > Komkommer bio,hoog
39362,"ah midi komkommers 3,00 ST",Groenten > Komkommer,hoog
571118,"ah avocado eetrijp 2,00 ST",Groenten > Avocado,hoog
517459,"ah bio avocado 2,00 ST",Groenten > Avocado bio,hoog
597702,"ah avocado 1,00 ST",Groenten > Avocado,hoog
820552,"ah venkel 1,00 ST",Groenten > Venkel,hoog
708786,"ah bio baby romaine 2,00 ST",Groenten > Sla bio,hoog
5680032,"ah bio paprika punt 2,00 ST",Groenten > Paprika bio,hoog
41957,"ah bio pompoen 1,00 KG",Groenten > Pompoen bio,hoog
589705,"ah bio peen pompoen 1,00 KG",Groenten > Pompoen/peen bio,controle
84546,"ah sw puntpaprika geel 1,00 ST",Groenten > Paprika,controle
